unit,landuse,geo\time	2015 	2012 	2009 
CVA,LUA,FR71	1.7 	1.6 	1.3 
CVA,LUA,FR72	1.4 	1.3 	1.3 
CVA,LUA,FR8	1.8 	1.7 	1.2 
CVA,LUA,FR81	2.4 	2.2 	1.9 
CVA,LUA,FR82	3 	2.8 	1.9 
CVA,LUA,FR83	9.2 	8 	3.7 
CVA,LUA,HR	2.1 	: 	: 
CVA,LUA,HR0	2.1 	: 	: 
CVA,LUA,HR03	5.6 	: 	: 
CVA,LUA,HR04	2.2 	: 	: 
CVA,LUA,HU	0.8 	0.8 	0.7 
CVA,LUA,HU1	4.2 	4.3 	3.4 
CVA,LUA,HU10	4.2 	4.3 	3.4 
CVA,LUA,HU2	1.4 	1.3 	1.1 
CVA,LUA,HU21	2.4 	2.4 	2.1 
CVA,LUA,HU22	2.5 	2.4 	2 
CVA,LUA,HU23	2.4 	2.2 	1.9 
CVA,LUA,HU3	1 	1 	0.8 
CVA,LUA,HU31	2.8 	2.4 	2 
CVA,LUA,HU32	1.6 	1.6 	1.2 
CVA,LUA,HU33	1.5 	1.5 	1.2 
CVA,LUA,IE	1.1 	1.1 	0.7 
CVA,LUA,IE0	1.1 	1.1 	0.7 
CVA,LUA,IE01	1.8 	1.8 	1.1 
CVA,LUA,IE02	1.3 	1.3 	1 
CVA,LUA,IT	0.5 	0.5 	0.4 
CVA,LUA,ITC	1.4 	1.4 	1 
CVA,LUA,ITC1	2 	2 	1.4 
CVA,LUA,ITC2	14.7 	18.4 	7.8 
CVA,LUA,ITC3	12.5 	10.5 	8.1 
CVA,LUA,ITC4	1.9 	1.9 	1.5 
CVA,LUA,ITF	0.9 	0.9 	0.7 
CVA,LUA,ITF1	3.2 	3.2 	2.3 
CVA,LUA,ITF2	3.4 	4 	3.1 
CVA,LUA,ITF3	2.6 	2.4 	2.1 
CVA,LUA,ITF4	1 	1 	0.9 
CVA,LUA,ITF5	2.5 	2.5 	2.2 
CVA,LUA,ITF6	3 	2.7 	1.9 
CVA,LUA,ITG	1.1 	1.1 	0.9 
CVA,LUA,ITG1	1.3 	1.2 	1 
CVA,LUA,ITG2	2 	2 	1.7 
CVA,LUA,ITH	1.1 	1.1 	0.9 
CVA,LUA,ITH1	6.7 	7.8 	3.6 
CVA,LUA,ITH2	9.9 	9.6 	5.5 
CVA,LUA,ITH3	1.7 	1.7 	1.5 
CVA,LUA,ITH4	3.7 	3.6 	2.8 
CVA,LUA,ITH5	1.5 	1.6 	1.4 
CVA,LUA,ITI	1.3 	1.3 	1.1 
CVA,LUA,ITI1	2.2 	2.1 	1.9 
CVA,LUA,ITI2	3.5 	3.5 	2.9 
CVA,LUA,ITI3	2.5 	2.6 	2.1 
CVA,LUA,ITI4	2.3 	2.2 	2 
CVA,LUA,LT	1 	1 	0.9 
CVA,LUA,LT0	1 	1 	0.9 
CVA,LUA,LT00	1 	1 	0.9 
CVA,LUA,LU	4.5 	4.4 	4.4 
CVA,LUA,LU0	4.5 	4.4 	4.4 
CVA,LUA,LU00	4.5 	4.4 	4.4 
CVA,LUA,LV	1.6 	1.6 	1.4 
CVA,LUA,LV0	1.6 	1.6 	1.4 
CVA,LUA,LV00	1.6 	1.6 	1.4 
CVA,LUA,MT	12.2 	13.5 	: 
CVA,LUA,MT0	12.2 	13.5 	: 
CVA,LUA,MT00	12.2 	13.5 	: 
CVA,LUA,NL	1.4 	1.3 	1.1 
CVA,LUA,NL1	2.5 	2.4 	1.9 
CVA,LUA,NL11	3.8 	3.7 	3.3 
CVA,LUA,NL12	4.3 	3.9 	3 
CVA,LUA,NL13	5 	4.9 	3.5 
CVA,LUA,NL2	2.6 	2.4 	2.3 
CVA,LUA,NL21	3.9 	3.6 	3.3 
CVA,LUA,NL22	3.8 	3.5 	3.6 
CVA,LUA,NL23	6.5 	5.8 	5.5 
CVA,LUA,NL3	3.2 	2.9 	2.3 
CVA,LUA,NL31	8.5 	7.9 	6.9 
CVA,LUA,NL32	7.1 	5.7 	4.5 
CVA,LUA,NL33	6.4 	5.8 	4.6 
CVA,LUA,NL34	4.7 	4 	3.1 
CVA,LUA,NL4	3.2 	3.3 	2.8 
CVA,LUA,NL41	4 	4.1 	3.5 
CVA,LUA,NL42	5.5 	5.6 	4.6 
CVA,LUA,PL	0.5 	0.5 	0.5 
CVA,LUA,PL1	1.2 	1.1 	1 
CVA,LUA,PL11	2 	1.9 	1.7 
CVA,LUA,PL12	1.5 	1.4 	1.3 
CVA,LUA,PL2	2.3 	2.2 	1.9 
CVA,LUA,PL21	2.8 	2.8 	2.3 
CVA,LUA,PL22	3.8 	3.5 	3.2 
CVA,LUA,PL3	1 	1 	0.9 
CVA,LUA,PL31	1.5 	1.4 	1.3 
CVA,LUA,PL32	2.8 	2.7 	2.3 
CVA,LUA,PL33	2.7 	2.9 	2.4 
CVA,LUA,PL34	1.8 	1.7 	1.7 
CVA,LUA,PL4	1.2 	1.2 	1.1 
CVA,LUA,PL41	1.4 	1.4 	1.3 
CVA,LUA,PL42	2.2 	2.4 	2.1 
CVA,LUA,PL43	3.5 	3.5 	3.2 
CVA,LUA,PL5	1.6 	1.6 	1.4 
CVA,LUA,PL51	2.2 	2.1 	1.7 
CVA,LUA,PL52	2.4 	2.4 	2.2 
CVA,LUA,PL6	1.2 	1.1 	1 
CVA,LUA,PL61	1.7 	1.7 	1.5 
CVA,LUA,PL62	2 	1.9 	1.7 
CVA,LUA,PL63	2.3 	2.3 	2.1 
CVA,LUA,PT	1.1 	1 	1 
CVA,LUA,PT1	1.1 	1 	1 
CVA,LUA,PT11	2.8 	2.5 	2 
CVA,LUA,PT15	5.7 	4.8 	4.8 
CVA,LUA,PT16	2.6 	2.5 	2.4 
CVA,LUA,PT17	6.5 	6.1 	5.1 
CVA,LUA,PT18	1.3 	1 	1.2 
CVA,LUA,RO	0.5 	0.5 	: 
CVA,LUA,RO1	1 	1 	: 
CVA,LUA,RO11	1.3 	1.3 	: 
CVA,LUA,RO12	1.5 	1.6 	: 
CVA,LUA,RO2	0.8 	0.7 	: 
CVA,LUA,RO21	1.2 	1.1 	: 
CVA,LUA,RO22	1 	1 	: 
CVA,LUA,RO3	0.9 	1 	: 
CVA,LUA,RO31	1 	1 	: 
CVA,LUA,RO32	5.5 	5.1 	: 
CVA,LUA,RO4	1 	1 	: 
CVA,LUA,RO41	1.3 	1.3 	: 
CVA,LUA,RO42	1.5 	1.4 	: 
CVA,LUA,SE	1.6 	1.6 	1.3 
CVA,LUA,SE1	2.6 	3 	2.5 
CVA,LUA,SE11	8.7 	10 	8.1 
CVA,LUA,SE12	2.7 	3.1 	2.7 
CVA,LUA,SE2	1.8 	2 	1.7 
CVA,LUA,SE21	3.7 	4.4 	3.9 
CVA,LUA,SE22	2.6 	3.1 	2.7 
CVA,LUA,SE23	2.8 	3.1 	2.5 
CVA,LUA,SE3	4.4 	4.2 	3.4 
CVA,LUA,SE31	5.3 	5.9 	5.2 
CVA,LUA,SE32	10.5 	9 	8.4 
CVA,LUA,SE33	9.1 	8.1 	5.3 
CVA,LUA,SI	3.5 	3.4 	3.8 
CVA,LUA,SI0	3.5 	3.4 	3.8 
CVA,LUA,SI03	4.1 	4.1 	4.7 
CVA,LUA,SI04	6.7 	6.4 	6.7 
CVA,LUA,SK	1.5 	1.5 	1.2 
CVA,LUA,SK0	1.5 	1.5 	1.2 
CVA,LUA,SK01	8.6 	7.9 	6.2 
CVA,LUA,SK02	1.8 	1.9 	1.6 
CVA,LUA,SK03	3.5 	3.4 	2.8 
CVA,LUA,SK04	3 	2.9 	2.4 
CVA,LUA,UK	0.6 	0.6 	0.4 
CVA,LUA,UKC	3 	2.9 	2.2 
CVA,LUA,UKC1	4.9 	5 	3.5 
CVA,LUA,UKC2	3.7 	3.6 	2.8 
CVA,LUA,UKD	2.6 	2.6 	1.7 
CVA,LUA,UKD1	3.7 	3.7 	2.1 
CVA,LUA,UKD3	17 	17.2 	12.5 
CVA,LUA,UKD4	4.7 	4.7 	3.2 
CVA,LUA,UKD6	5.6 	6.1 	4.3 
CVA,LUA,UKD7	18.3 	19.9 	13.5 
CVA,LUA,UKE	1.8 	1.8 	1.5 
CVA,LUA,UKE1	2.7 	2.6 	2.3 
CVA,LUA,UKE2	2.4 	2.4 	1.7 
CVA,LUA,UKE3	8.4 	9.3 	7.3 
CVA,LUA,UKE4	6.9 	7.8 	6.2 
CVA,LUA,UKF	1.4 	1.5 	1.2 
CVA,LUA,UKF1	3.2 	3.3 	2.8 
CVA,LUA,UKF2	2.8 	3.1 	2.3 
CVA,LUA,UKF3	1.7 	1.7 	1.4 
CVA,LUA,UKG	1.8 	1.9 	1.6 
CVA,LUA,UKG1	2.6 	2.8 	2.3 
CVA,LUA,UKG2	2.4 	2.3 	1.9 
CVA,LUA,UKG3	20 	20.3 	16.1 
CVA,LUA,UKH	1.4 	1.5 	1.3 
CVA,LUA,UKH1	1.6 	1.7 	1.4 
CVA,LUA,UKH2	5.1 	5.4 	3.8 
CVA,LUA,UKH3	3.6 	3.5 	3.1 
CVA,LUA,UKI	38.2 	52.8 	22.2 
CVA,LUA,UKI5	46.9 	36.8 	32.8 
CVA,LUA,UKI6	128.3 	: 	34.8 
CVA,LUA,UKI7	52.7 	65 	42.7 
CVA,LUA,UKJ	2 	2 	1.8 
CVA,LUA,UKJ1	3 	3.4 	2.9 
CVA,LUA,UKJ2	4.4 	4.5 	3.8 
CVA,LUA,UKJ3	4.5 	4.4 	4.6 
CVA,LUA,UKJ4	4.2 	4.3 	3.7 
CVA,LUA,UKK	1.4 	1.4 	1.2 
CVA,LUA,UKK1	2.4 	2.8 	2.4 
CVA,LUA,UKK2	2.4 	2.4 	2 
CVA,LUA,UKK3	3.6 	3.4 	2.7 
CVA,LUA,UKK4	2.8 	2.7 	2.1 
CVA,LUA,UKL	2 	2 	1.4 
CVA,LUA,UKL1	2.6 	2.7 	1.8 
CVA,LUA,UKL2	3.4 	3.2 	2.2 
CVA,LUA,UKM	1.7 	1.6 	0.8 
CVA,LUA,UKM2	2.6 	2.5 	1.7 
CVA,LUA,UKM3	3.4 	3.2 	2.3 
CVA,LUA,UKM5	4 	4.2 	2.4 
CVA,LUA,UKM6	3.7 	3 	1.1 
CVA,LUA,UKN	2 	2.1 	1.5 
CVA,LUA,UKN0	2 	2.1 	1.5 
CVA,LUB,AT	1.1 	1.2 	1 
CVA,LUB,AT1	2.1 	2.3 	2.4 
CVA,LUB,AT11	5.7 	5.7 	5.8 
CVA,LUB,AT12	2.3 	2.5 	2.6 
CVA,LUB,AT13	47.2 	58.9 	61.3 
CVA,LUB,AT2	1.5 	1.7 	1.3 
CVA,LUB,AT21	2.3 	2.5 	2.1 
CVA,LUB,AT22	2 	2.2 	1.7 
CVA,LUB,AT3	2.1 	2.3 	1.6 
CVA,LUB,AT31	3.2 	3.4 	3.2 
CVA,LUB,AT32	3.7 	4.2 	3 
CVA,LUB,AT33	4.2 	4.7 	2.1 
CVA,LUB,AT34	8.5 	9 	6.1 
CVA,LUB,BE	3 	2.9 	3.4 
CVA,LUB,BE1	68.6 	77.5 	87.6 
CVA,LUB,BE10	68.6 	77.5 	87.6 
CVA,LUB,BE2	7.1 	7.3 	10 
CVA,LUB,BE21	13.6 	11.5 	16.7 
CVA,LUB,BE22	12 	16.5 	20.9 
CVA,LUB,BE23	19 	18.8 	38.8 
CVA,LUB,BE24	14.4 	12.9 	16.2 
CVA,LUB,BE25	43.7 	53.5 	46 
CVA,LUB,BE3	3 	3 	3.1 
CVA,LUB,BE31	24.5 	27.9 	43.7 
CVA,LUB,BE32	14.8 	14.9 	13.9 
CVA,LUB,BE33	6.4 	7 	7.9 
CVA,LUB,BE34	3.5 	3.6 	3.6 
CVA,LUB,BE35	6.1 	5.7 	5.6 
CVA,LUB,BG	1.1 	1.1 	: 
CVA,LUB,BG3	1.6 	1.7 	: 
CVA,LUB,BG31	3.2 	3.5 	: 
CVA,LUB,BG32	3.7 	3.8 	: 
CVA,LUB,BG33	3.6 	3.9 	: 
CVA,LUB,BG34	2.7 	2.7 	: 
CVA,LUB,BG4	1.4 	1.5 	: 
CVA,LUB,BG41	1.9 	2.1 	: 
CVA,LUB,BG42	2 	2.1 	: 
CVA,LUB,CY	5.8 	7.9 	: 
CVA,LUB,CY0	5.8 	7.9 	: 
CVA,LUB,CY00	5.8 	7.9 	: 
CVA,LUB,CZ	1.3 	1.2 	1.2 
CVA,LUB,CZ0	1.3 	1.2 	1.2 
CVA,LUB,CZ01	33.8 	31.6 	36.2 
CVA,LUB,CZ02	3.9 	3.6 	4 
CVA,LUB,CZ03	2.5 	2.4 	2.3 
CVA,LUB,CZ04	3.6 	3.5 	3.4 
CVA,LUB,CZ05	3.3 	3.3 	3.2 
CVA,LUB,CZ06	3.3 	3.3 	3.4 
CVA,LUB,CZ07	3.2 	3.2 	3.4 
CVA,LUB,CZ08	4.1 	4 	4 
CVA,LUB,DE	0.7 	0.7 	0.7 
CVA,LUB,DE1	1.9 	1.8 	1.8 
CVA,LUB,DE11	3.7 	3.7 	3.6 
CVA,LUB,DE12	3.8 	3.8 	3.9 
CVA,LUB,DE13	3.5 	3.2 	3.1 
CVA,LUB,DE14	4.1 	4.2 	4 
CVA,LUB,DE2	1.5 	1.4 	1.3 
CVA,LUB,DE21	2.8 	2.8 	2.6 
CVA,LUB,DE22	4.5 	4.2 	3.9 
CVA,LUB,DE23	3.7 	3.5 	3.4 
CVA,LUB,DE24	4.4 	4.1 	3.8 
CVA,LUB,DE25	4.6 	4.6 	4.6 
CVA,LUB,DE26	3.7 	3.3 	3.3 
CVA,LUB,DE27	4.9 	4.5 	4.1 
CVA,LUB,DE3	20.9 	24 	22 
CVA,LUB,DE30	20.9 	24 	22 
CVA,LUB,DE4	2 	1.9 	2.2 
CVA,LUB,DE40	2 	1.9 	2.2 
CVA,LUB,DE5	0 	: 	: 
CVA,LUB,DE50	0 	: 	: 
CVA,LUB,DE6	54.5 	62.4 	44 
CVA,LUB,DE60	54.5 	62.4 	44 
CVA,LUB,DE7	2.2 	2.1 	2.3 
CVA,LUB,DE71	3.6 	3.8 	4.2 
CVA,LUB,DE72	4.3 	4.1 	4.4 
CVA,LUB,DE73	3.7 	3.4 	3.4 
CVA,LUB,DE8	3.2 	3.4 	3.4 
CVA,LUB,DE80	3.2 	3.4 	3.4 
CVA,LUB,DE9	2.3 	2.4 	2.4 
CVA,LUB,DE91	4.2 	4.3 	3.7 
CVA,LUB,DE92	5.4 	5.4 	5.3 
CVA,LUB,DE93	3.7 	3.8 	3.9 
CVA,LUB,DE94	6.3 	6.9 	7.1 
CVA,LUB,DEA	3.1 	3 	3 
CVA,LUB,DEA1	11.2 	10.7 	10.7 
CVA,LUB,DEA2	6.1 	5.8 	5.9 
CVA,LUB,DEA3	9.7 	9 	10.1 
CVA,LUB,DEA4	7.2 	7.2 	7.5 
CVA,LUB,DEA5	4.6 	4.7 	4.3 
CVA,LUB,DEB	2.5 	2.4 	2.4 
CVA,LUB,DEB1	4 	3.7 	3.6 
CVA,LUB,DEB2	4.5 	4.3 	4.6 
CVA,LUB,DEB3	4.6 	4.3 	4.3 
CVA,LUB,DEC	8.1 	7.3 	7.4 
CVA,LUB,DEC0	8.1 	7.3 	7.4 
CVA,LUB,DED	3.4 	3.4 	3.5 
CVA,LUB,DED2	4.9 	4.7 	4.9 
CVA,LUB,DED4	4.9 	5.4 	5.3 
CVA,LUB,DED5	10.3 	10 	11.2 
CVA,LUB,DEE	3.3 	3.3 	3.8 
CVA,LUB,DEE0	3.3 	3.3 	3.8 
CVA,LUB,DEF	7.1 	7.8 	7.8 
CVA,LUB,DEF0	7.1 	7.8 	7.8 
CVA,LUB,DEG	3 	3 	2.9 
CVA,LUB,DEG0	3 	3 	2.9 
CVA,LUB,DK	4 	3.8 	4 
CVA,LUB,DK0	4 	3.8 	4 
CVA,LUB,DK01	16.3 	15.3 	21.7 
CVA,LUB,DK02	10.2 	10.1 	10.2 
CVA,LUB,DK03	7.9 	7.8 	7.9 
CVA,LUB,DK04	6.7 	6.4 	6.2 
CVA,LUB,DK05	10.6 	8.8 	10.6 
CVA,LUB,EE	1.3 	1.3 	1.1 
CVA,LUB,EE0	1.3 	1.3 	1.1 
CVA,LUB,EE00	1.3 	1.3 	1.1 
CVA,LUB,EL	1.5 	1.5 	1 
CVA,LUB,EL3	17.7 	12.4 	7.8 
CVA,LUB,EL30	17.7 	12.4 	7.8 
CVA,LUB,EL4	8.8 	8.1 	5.9 
CVA,LUB,EL41	12.8 	12.3 	6.9 
CVA,LUB,EL42	18.6 	16.6 	18.6 
CVA,LUB,EL43	15.5 	13.5 	9.7 
CVA,LUB,EL5	1.8 	1.7 	1.3 
CVA,LUB,EL51	2.8 	2.8 	2.5 
CVA,LUB,EL52	3.6 	3.3 	2.6 
CVA,LUB,EL53	3.5 	3.6 	2.9 
CVA,LUB,EL54	4.5 	4.2 	2.3 
